Location,Price,Bathrooms,Car Parks,Size,Furnishing,Type,No_of_Bedrooms,No_of_servant_rooms,studio_apartment,Property Type Supergroup
Jalan Klang Lama (Old Klang Road),660000,2,2,992.092,Partly Furnished,Land area,3,0,0,Condominium
KLCC,3125000,2,2,1421.021,Partly Furnished,Built-up,1,1,0,Serviced Residence
KLCC,2480000,1,1,1023.023,Partly Furnished,Built-up,1,0,0,Serviced Residence
Damansara Heights,4000000,5,2,3700.0,Partly Furnished,Land area,4,1,0,Semi-detached House
KLCC,1050000,4,2,1313.013,Partly Furnished,Built-up,3,1,0,Serviced Residence
KLCC,1833000,1,1,925.025,Fully Furnished,Built-up,1,0,0,Serviced Residence
KLCC,2999000,3,3,2066.066,Fully Furnished,Built-up,3,1,0,Serviced Residence
Bukit Jalil,638000,1,1,721.021,Partly Furnished,Built-up,1,1,0,Serviced Residence
Bangsar,6842500,5,4,4025.025,Partly Furnished,Built-up,3,1,0,Condominium
Bangsar,8476050,5,4,5137.037,Partly Furnished,Built-up,4,1,0,Condominium
Mont Kiara,1415000,4,2,1496.096,Partly Furnished,Built-up,3,1,0,Condominium
KLCC,1380000,4,2,1701.001,Fully Furnished,Built-up,3,1,0,Serviced Residence
Bangsar,8280000,6,4,5137.037,Partly Furnished,Built-up,4,1,0,Condominium
Taman Desa,3690000,5,6,3658.058,Unfurnished,Land area,4,1,0,Semi-detached House
Sri Petaling,950000,3,2,1650.05,Partly Furnished,Land area,4,1,0,Terrace/Link House
Bukit Jalil,4000000,7,4,5337.037,Partly Furnished,Land area,6,1,0,Bungalow
Bangsar,9960000,7,6,6913.013,Partly Furnished,Built-up,6,0,0,Condominium
Bangsar,6660000,5,3,4771.071,Partly Furnished,Built-up,4,0,0,Condominium
Bangsar,6300000,5,3,4025.025,Partly Furnished,Built-up,3,1,0,Condominium
Taman Desa,628000,2,1,1150.05,Partly Furnished,Built-up,3,0,0,Condominium
